server,server_name_slug,network_name,country_code,as
lab.simosnap.com,SimosNap-lab_simosnap_com-FR-AS16276,SimosNap,FR,AS16276 OVH SAS
gra2.simosnap.com,SimosNap-gra2_simosnap_com-FR-AS16276,SimosNap,FR,AS16276 OVH SAS
cloud.hybridirc.com,HybridIRC-cloud_hybridirc_com-GB-AS16276,HybridIRC,GB,AS16276 OVH SAS
irc.link-net.be,LinkNet-irc_link-net_be-BE-AS42160,LinkNet,BE,AS42160 DC STAR nv
irc.link-net.nl,LinkNet-irc_link-net_nl-NL-AS1133,LinkNet,NL,AS1133 SURF B.V.
irc.us-ca2.link-net.org,LinkNet-irc_us-ca2_link-net_org-US-AS14061,LinkNet,US,AS14061 DigitalOcean, LLC
linknet.sh.cvut.cz,LinkNet-linknet_sh_cvut_cz-CZ-AS2852,LinkNet,CZ,AS2852 CESNET z.s.p.o.
irc.ca2.link-net.org,LinkNet-irc_ca2_link-net_org-CA-AS14061,LinkNet,CA,AS14061 DigitalOcean, LLC
irc.de2.link-net.org,LinkNet-irc_de2_link-net_org-DE-AS14061,LinkNet,DE,AS14061 DigitalOcean, LLC
irc.link-net.fi,LinkNet-irc_link-net_fi-FI-AS13170,LinkNet,FI,AS13170 Kaisanet Oy
irc.no.link-net.org,LinkNet-irc_no_link-net_org-NO-AS56655,LinkNet,NO,AS56655 TerraHost AS
irc.se.link-net.org,LinkNet-irc_se_link-net_org-SE-AS30893,LinkNet,SE,AS30893 No ACK Group Holding AB
stockholm.se.eu.gamesurge.net,GameSurge-stockholm_se_eu_gamesurge_net-SE-AS1653,GameSurge,SE,AS1653 Vetenskapsradet / SUNET
tal.de.eu.gamesurge.net,GameSurge-tal_de_eu_gamesurge_net-DE-AS8820,GameSurge,DE,AS8820 TAL.DE GmbH
#burstfire.uk.eu.gamesurge.net,GameSurge-burstfire_uk_eu_gamesurge_net-GB-AS9153,GameSurge,GB,AS9153 Burstfire Networks Ltd
nuclearfallout.wa.us.gamesurge.net,GameSurge-nuclearfallout_wa_us_gamesurge_net-US-AS32751,GameSurge,US,AS32751 Nuclearfallout Enterprises, Inc.
prothid.ny.us.gamesurge.net,GameSurge-prothid_ny_us_gamesurge_net-US-AS13789,GameSurge,US,AS13789 Unitas Global
stormlight.esper.net,EsperNet-stormlight_esper_net-US-AS63949,EsperNet,US,AS63949 Akamai Connected Cloud
calamity.esper.net,EsperNet-calamity_esper_net-AU-AS16276,EsperNet,AU,AS16276 OVH SAS
anarchy.esper.net,EsperNet-anarchy_esper_net-FR-AS16276,EsperNet,FR,AS16276 OVH SAS
swepipe.esper.net,EsperNet-swepipe_esper_net-SE-AS1653,EsperNet,SE,AS1653 Vetenskapsradet / SUNET
catastrophe.esper.net,EsperNet-catastrophe_esper_net-NL-AS198203,EsperNet,NL,AS198203 RouteLabel V.O.F.
irc.konnectchatirc.net,KonnectChatIRC-irc_konnectchatirc_net-US-AS19108,KonnectChatIRC,US,AS19108 Suddenlink Communications
#monster.va.us.synirc.net,synIRC-monster_va_us_synirc_net-US-AS14618,synIRC,US,AS14618 Amazon.com, Inc.
lust.jp.as.synirc.net,synIRC-lust_jp_as_synirc_net-JP-AS16509,synIRC,JP,AS16509 Amazon.com, Inc.
sirocco.tx.us.synirc.net,synIRC-sirocco_tx_us_synirc_net-US-AS63949,synIRC,US,AS63949 Akamai Connected Cloud
avarice.ny.us.synirc.net,synIRC-avarice_ny_us_synirc_net-US-AS14061,synIRC,US,AS14061 DigitalOcean, LLC
hades.de.eu.synirc.net,synIRC-hades_de_eu_synirc_net-DE-AS48314,synIRC,DE,AS48314 Michael Sebastian Schinzel trading as IP-Projects GmbH & Co. KG
wrath.uk.eu.synirc.net,synIRC-wrath_uk_eu_synirc_net-GB-AS203380,synIRC,GB,AS203380 DA International Group Ltd.
librenet.europnet.org,EuropNet-librenet_europnet_org-FR-AS48813,EuropNet,FR,AS48813 Enix SAS
fantasya.europnet.org,EuropNet-fantasya_europnet_org-DE-AS24940,EuropNet,DE,AS24940 Hetzner Online GmbH
buybsd.ny.us.irc-nerds.net,IRC-Nerds-buybsd_ny_us_irc-nerds_net-US-AS53667,IRC-Nerds,US,AS53667 FranTech Solutions
sith-order.irc-nerds.net,IRC-Nerds-sith-order_irc-nerds_net-US-AS53667,IRC-Nerds,US,AS53667 FranTech Solutions
crispr.irc-nerds.net,IRC-Nerds-crispr_irc-nerds_net-PL-AS16276,IRC-Nerds,PL,AS16276 OVH SAS
